Year,Country of Residence,Country Population,Syrian Refugees,
2012,Ukraine,45593300,63,
2012,United States,314112078,1425,
2012,Yemen,24882792,42,
2012,South Africa,52341695,2,
2014,Albania,2894475,NA,
2014,United Arab Emirates,9086139,28,
2014,Argentina,42980026,233,
2014,Armenia,3006154,14994,
2014,Australia,23470118,302,
2014,Austria,8545908,2748,
2014,Azerbaijan,9535079,7,
2014,Belgium,11231213,2620,
2014,Bulgaria,7223938,8501,
2014,Bosnia and Herzegovina,3817554,25,
2014,Belarus,9470000,72,
2014,Bolivia (Plurinational State of),10238762,6,
2014,Brazil,206077898,1739,
2014,Barbados,283380,NA,
2014,Central African Rep.,4619500,0,
2014,Canada,35543658,705,
2014,Switzerland,8188102,5161,
2014,Chile,17762647,6,
2014,China,1364270000,5,
2014,Cameroon,22773014,NA,
2014,Dem. Rep. of the Congo,4286188,0,
2014,Colombia,47791393,NA,
2014,Costa Rica,4757606,5,
2014,Cuba,11379111,20,
2014,Cura̤ao,152088,NA,
2014,Cyprus,1153658,1451,
2014,Czech Rep.,10525347,236,
2014,Germany,80970732,40994,
2014,Djibouti,876174,0,
2014,Denmark,5638530,7253,
2014,Dominican Rep.,10405943,NA,
2014,Algeria,38934334,0,
2014,Ecuador,15902916,13,
2014,Egypt,89579670,138381,
2014,Spain,46476032,1336,
2014,Estonia,1314545,6,
2014,Ethiopia,96958732,0,
2014,Finland,5461512,438,
2014,France,66217509,2882,
2014,Gabon,1687673,0,
2014,United Kingdom,64559135,4572,
2014,Georgia,3727000,471,
2014,Ghana,26786598,5,
2014,Greece,10869637,3913,
2014,"China, Hong Kong SAR",7241700,0,
2014,Croatia,4238389,22,
2014,Hungary,9863183,334,
2014,Indonesia,254454778,43,
2014,India,1295291543,27,
2014,Ireland,4615693,176,
2014,Iraq,34812326,234196,
2014,Iceland,327386,7,
2014,Israel,8215700,NA,
2014,Italy,60789140,1144,
2014,Jamaica,2720554,NA,
2014,Jordan,6607000,623112,
2014,Japan,127131800,41,
2014,Kazakhstan,17289224,14,
2014,Kenya,44863583,0,
2014,Kyrgyzstan,5835500,56,
2014,Cambodia,15328136,0,
2014,Rep. of Korea,50423955,503,
2014,Kuwait,3753121,15,
2014,Lebanon,4546774,1147494,
2014,Liberia,4396554,6,
2014,Libya,6258984,18653,
2014,Saint Lucia,183645,NA,
2014,Liechtenstein,37286,5,
2014,Sri Lanka,20771000,NA,
2014,Lithuania,2932367,20,
2014,Luxembourg,556319,59,
2014,Latvia,1993782,52,
2014,"China, Macao SAR",577914,0,
2014,Morocco,33921203,647,
2014,Rep. of Moldova,3556397,186,
2014,Mexico,125385833,13,
2014,The former Yugoslav Republic of Macedonia,2075625,11,
2014,Mali,17086022,16,
2014,Malta,427364,1047,
2014,Montenegro,621810,0,
2014,Mongolia,2909871,NA,
2014,Mauritania,3969625,41,
2014,Malaysia,29901997,447,
2014,Niger,19113728,6,
2014,Nigeria,177475986,11,
2014,Netherlands,16865008,8692,
2014,Norway,5136886,2568,
2014,Nauru,9488,0,
2014,New Zealand,4509700,48,
2014,Oman,4236057,7,
